Episode,Reward,Steps,Success,Collisions
262,344.53,151,0,0
263,335.61,276,0,0
264,344.43,116,0,0
265,341.97,184,0,0
266,341.93,182,0,0
267,345.34,66,0,0
268,346.01,78,0,0
269,341.47,148,0,0
270,337.52,191,0,0
271,336.52,284,0,0
272,333.89,346,0,0
273,340.59,205,0,0
274,336.67,239,0,0
275,337.7,236,0,0
276,342.25,153,0,0
277,338.19,269,0,0
278,344.76,90,0,0
279,342.63,119,0,0
280,339.03,191,0,0
281,343.35,137,0,0
282,342.53,134,0,0
283,344.43,136,0,0
284,342.6,142,0,0
285,344.28,104,0,0
286,343.01,138,0,0
287,31.72,400,0,0
288,345.4,81,0,0
289,343.48,193,0,0
290,340.98,169,0,0
291,63.97,400,0,0
292,339.72,196,0,0
293,344.06,132,0,0
294,341.35,157,0,0
295,340.12,142,0,0
296,343.61,133,0,0
297,344.73,138,0,0
298,343.18,118,0,0
299,343.9,95,0,0
300,339.01,240,0,0
301,343.64,122,0,0
302,343.64,157,0,0
303,341.34,169,0,0
304,344.58,102,0,0
305,343.45,154,0,0
306,342.28,135,0,0
307,346.69,88,0,0
308,345.75,85,0,0
309,342.32,152,0,0
310,343.87,116,0,0
311,339.91,196,0,0
312,342.69,154,0,0
313,343.17,146,0,0
314,344.68,92,0,0
315,341.37,163,0,0
316,344.65,125,0,0
317,339.01,181,0,0
318,345.01,126,0,0
319,344.43,86,0,0
320,343.95,109,0,0
321,342.91,191,0,0
322,344.69,92,0,0
323,341.38,181,0,0
324,344.72,91,0,0
325,341.12,169,0,0
326,339.48,186,0,0
327,344.38,95,0,0
328,345.94,78,0,0
329,343.84,112,0,0
330,340.94,164,0,0
331,341.46,174,0,0
332,345.21,74,0,0
333,338.5,172,0,0
334,340.21,190,0,0
335,345.15,108,0,0
336,343.65,113,0,0
337,336.99,241,0,0
338,338.04,191,0,0
339,345.48,73,0,0
340,340.56,147,0,0
341,341.42,157,0,0
342,332.89,319,0,0
343,339.99,193,0,0
344,343.32,122,0,0
345,341.13,170,0,0
346,343.29,128,0,0
347,343.31,102,0,0
348,343.94,87,0,0
349,343.39,148,0,0
350,344.26,104,0,0
351,343.66,133,0,0
352,343.4,131,0,0
353,344.36,101,0,0
354,341.94,139,0,0
355,342.14,157,0,0
356,342.72,114,0,0
357,334.89,262,0,0
358,339.92,184,0,0
359,344.91,112,0,0
360,345.01,105,0,0
361,330.52,371,0,0
362,344.8,95,0,0
363,340.65,198,0,0
364,344.97,94,0,0
365,343.5,123,0,0
366,342.56,129,0,0
367,337.7,246,0,0
368,343.05,183,0,0
369,345.6,125,0,0
370,344.93,105,0,0
371,343.97,119,0,0
372,342.15,146,0,0
373,342.15,148,0,0
374,342.89,108,0,0
375,345.74,85,0,0
376,343.6,117,0,0
377,343.79,130,0,0
378,339.03,213,0,0
379,342.83,141,0,0
380,343.09,93,0,0
381,341.97,179,0,0
382,340.13,189,0,0
383,340.27,223,0,0
384,339.03,153,0,0
385,342.79,132,0,0
386,344.83,97,0,0
387,343.33,102,0,0
388,343.12,149,0,0
389,341.65,178,0,0
390,343.78,122,0,0
391,341.22,162,0,0
392,339.54,203,0,0
393,344.77,104,0,0
394,343.61,133,0,0
395,344.58,103,0,0
396,341.88,181,0,0
397,341.17,146,0,0
398,342.45,174,0,0
399,32.62,400,0,0
400,343.03,93,0,0
401,346.27,64,0,0
402,344.75,95,0,0
403,341.93,157,0,0
404,341.71,148,0,0
405,344.51,155,0,0
406,341.26,155,0,0
407,344.79,99,0,0
408,341.0,181,0,0
409,340.14,210,0,0
410,336.41,331,0,0
411,342.24,137,0,0
412,346.32,89,0,0
413,342.31,150,0,0
414,341.3,156,0,0
415,345.11,101,0,0
416,342.95,123,0,0
417,344.97,131,0,0
418,342.93,176,0,0
419,343.47,133,0,0
420,343.18,136,0,0
421,342.08,173,0,0
422,336.88,303,0,0
423,343.29,130,0,0
424,339.67,192,0,0
425,338.22,272,0,0
426,342.39,124,0,0
427,345.59,78,0,0
428,344.5,125,0,0
429,339.03,201,0,0
430,344.07,108,0,0
431,342.94,110,0,0
432,346.15,96,0,0
433,339.88,251,0,0
434,344.09,122,0,0
435,338.38,255,0,0
436,346.28,64,0,0
437,337.83,223,0,0
438,341.58,170,0,0
439,343.59,126,0,0
440,345.34,158,0,0
441,344.86,110,0,0
442,340.79,191,0,0
443,343.99,153,0,0
444,343.68,141,0,0
445,342.94,168,0,0
446,346.53,93,0,0
447,342.8,172,0,0
448,343.46,119,0,0
449,343.38,102,0,0
450,343.71,130,0,0
451,343.95,118,0,0
452,339.89,176,0,0
453,344.38,122,0,0
454,345.29,84,0,0
455,344.26,87,0,0
456,341.64,170,0,0
457,344.81,101,0,0
458,345.21,114,0,0
459,345.67,83,0,0
460,341.07,157,0,0
461,344.86,130,0,0
462,341.79,134,0,0
463,341.84,171,0,0
464,344.08,120,0,0
465,343.87,146,0,0
466,344.32,152,0,0
467,345.53,154,0,0
468,344.27,103,0,0
469,345.45,87,0,0
470,343.26,160,0,0
471,339.98,232,0,0
472,344.94,99,0,0
473,341.38,145,0,0
474,339.42,191,0,0
475,344.52,109,0,0
476,342.99,130,0,0
477,345.3,89,0,0
478,341.96,113,0,0
479,339.69,170,0,0
480,346.3,66,0,0
481,344.94,94,0,0
482,344.93,124,0,0
483,343.42,135,0,0
484,343.06,119,0,0
485,344.49,108,0,0
486,340.9,201,0,0
487,344.61,76,0,0
488,344.67,98,0,0
489,345.79,73,0,0
490,344.35,117,0,0
491,338.76,189,0,0
492,344.62,157,0,0
493,341.34,132,0,0
494,346.05,93,0,0
495,344.92,124,0,0
496,344.22,106,0,0
497,341.33,173,0,0
498,343.13,144,0,0
499,344.76,65,0,0
500,344.46,91,0,0
501,341.16,164,0,0
502,342.39,111,0,0
503,343.58,96,0,0
504,345.84,90,0,0
505,342.54,134,0,0
506,341.45,151,0,0
507,346.29,62,0,0
508,341.37,135,0,0
509,346.1,87,0,0
510,346.45,55,0,0
511,347.11,54,0,0
512,343.3,149,0,0
513,342.42,167,0,0
514,344.74,121,0,0
515,344.92,101,0,0
516,345.61,68,0,0
517,343.08,117,0,0
518,344.18,115,0,0
519,344.47,88,0,0
520,341.47,144,0,0
521,344.16,101,0,0
522,339.2,249,0,0
523,345.27,117,0,0
524,345.38,84,0,0
525,341.06,153,0,0
526,345.26,105,0,0
527,347.23,69,0,0
528,345.78,105,0,0
529,341.89,163,0,0
530,346.23,102,0,0
531,342.02,134,0,0
532,343.37,165,0,0
533,345.54,95,0,0
534,345.69,68,0,0
535,346.59,67,0,0
536,343.81,89,0,0
537,344.03,122,0,0
538,340.72,183,0,0
539,345.1,73,0,0
540,343.06,100,0,0
541,343.7,101,0,0
542,345.14,104,0,0
543,344.52,92,0,0
544,345.41,77,0,0
545,344.01,172,0,0
546,345.01,111,0,0
547,344.61,101,0,0
548,343.96,116,0,0
549,343.41,131,0,0
550,347.2,102,0,0
551,346.63,77,0,0
552,347.04,57,0,0
553,340.53,190,0,0
554,344.71,123,0,0
555,346.49,63,0,0
556,345.4,127,0,0
557,346.82,66,0,0
558,345.92,74,0,0
559,344.41,100,0,0
560,346.57,93,0,0
561,345.26,101,0,0
562,345.0,95,0,0
563,344.42,124,0,0
564,346.14,99,0,0
565,343.89,165,0,0
566,345.41,73,0,0
567,341.0,140,0,0
568,342.76,157,0,0
569,345.62,79,0,0
570,343.78,128,0,0
571,341.89,187,0,0
572,343.4,105,0,0
573,347.07,62,0,0
574,346.2,70,0,0
575,344.18,119,0,0
576,344.61,123,0,0
577,343.18,129,0,0
578,342.9,124,0,0
579,344.68,70,0,0
580,345.09,139,0,0
581,346.89,76,0,0
582,346.13,99,0,0
583,346.61,86,0,0
584,343.54,129,0,0
585,344.02,116,0,0
586,344.99,110,0,0
587,344.95,102,0,0
588,345.97,80,0,0
589,344.69,91,0,0
590,345.26,99,0,0
591,340.76,185,0,0
592,344.86,113,0,0
593,344.45,99,0,0
594,346.55,75,0,0
595,345.4,76,0,0
596,344.14,162,0,0
597,344.89,98,0,0
598,344.69,86,0,0
599,345.69,82,0,0
600,347.17,84,0,0
601,346.11,74,0,0
602,345.14,113,0,0
603,345.04,109,0,0
604,345.39,86,0,0
605,345.81,101,0,0
606,344.55,89,0,0
607,346.51,65,0,0
608,342.92,160,0,0
609,339.55,169,0,0
610,343.32,182,0,0
611,344.9,97,0,0
612,347.22,63,0,0
613,344.79,93,0,0
614,343.06,150,0,0
615,346.17,75,0,0
616,344.58,89,0,0
617,341.17,177,0,0
618,345.13,108,0,0
619,343.38,111,0,0
620,343.64,87,0,0
621,341.88,157,0,0
622,346.52,80,0,0
623,341.36,206,0,0
624,346.89,93,0,0
625,346.68,75,0,0
626,344.06,129,0,0
627,344.48,95,0,0
628,342.48,218,0,0
629,344.9,102,0,0
630,346.5,86,0,0
631,347.12,114,0,0
632,345.43,83,0,0
633,346.11,76,0,0
634,345.25,93,0,0
635,344.23,104,0,0
636,345.78,84,0,0
637,345.95,99,0,0
638,345.23,86,0,0
639,346.88,73,0,0
640,345.21,82,0,0
641,345.86,103,0,0
642,345.51,83,0,0
643,346.49,118,0,0
644,344.02,183,0,0
645,344.74,113,0,0
646,345.22,92,0,0
647,344.68,93,0,0
648,347.3,78,0,0
649,345.9,98,0,0
650,346.9,84,0,0
651,343.72,131,0,0
652,344.57,104,0,0
653,345.54,120,0,0
654,347.15,54,0,0
655,345.25,85,0,0
656,343.23,163,0,0
657,341.94,165,0,0
658,345.75,124,0,0
659,344.02,121,0,0
660,343.55,115,0,0
661,346.13,64,0,0
662,344.12,104,0,0
663,345.85,98,0,0
664,346.85,67,0,0
665,346.0,92,0,0
666,345.43,95,0,0
667,339.87,214,0,0
668,341.33,149,0,0
669,345.06,98,0,0
670,342.73,145,0,0
671,347.32,109,0,0
