iteration,ep_len_mean,ep_rew_mean,fps,time_elapsed,total_timesteps,approx_kl,clip_fraction,clip_range,entropy_loss,explained_variance,learning_rate,loss,n_updates,policy_gradient_loss,value_loss
0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0
0,0,0,0,0,0,0.0033082627,0.1755859375,0.1,-1.7888802174478768,0.05005943775177002,5e-05,8.117596626281738,10,-0.01442603507603053,9.358323635160923
0,0,0,0,0,0,0.0043053343,0.25009765625,0.1,-1.7852053549140692,0.04987776279449463,5e-05,4.471170425415039,20,-0.02082596196560189,6.646568156778812
0,0,0,0,0,0,0.0022805706,0.07919921875,0.1,-1.7807677552103995,0.10436469316482544,5e-05,9.401809692382812,30,-0.012646752715227194,8.29437247738242
0,0,0,0,0,0,0.004421884,0.2505859375,0.1,-1.7705495577305554,0.05808579921722412,5e-05,9.809015274047852,40,-0.01982306736463215,7.807779711484909
0,0,0,0,0,0,0.00253449,0.1478515625,0.1,-1.7645368296653032,0.10024219751358032,5e-05,6.547513008117676,50,-0.01566947991559573,7.636660838872194
0,0,0,0,0,0,0.0024404277,0.0845703125,0.1,-1.7614676658064128,0.037091076374053955,5e-05,16.96643829345703,60,-0.012529494489717763,10.496712896227837
0,0,0,0,0,0,0.0023689773,0.15283203125,0.1,-1.7619956824928522,0.09101057052612305,5e-05,17.392372131347656,70,-0.014040862765978091,12.86755899786949
0,0,0,0,0,0,0.0027263048,0.19814453125,0.1,-1.7598454158753156,0.06812012195587158,5e-05,9.09573745727539,80,-0.015928960984456352,10.609644228219986
0,0,0,0,0,0,0.0037264414,0.16328125,0.1,-1.7553676698356866,0.12919294834136963,5e-05,10.077752113342285,90,-0.01535874824912753,8.728946040570737
0,0,0,0,0,0,0.0022146848,0.07353515625,0.1,-1.7564382065087556,0.02894490957260132,5e-05,27.992712020874023,100,-0.008656127606082009,13.823621125519276
0,0,0,0,0,0,0.0013267973,0.04296875,0.1,-1.7538169912993908,0.009271085262298584,5e-05,1828.1307373046875,110,-0.00174608578599873,696.9500938028098
0,0,0,0,0,0,0.0027273032,0.162890625,0.1,-1.7561968985944987,-0.17515528202056885,5e-05,14.780841827392578,120,-0.012164059042697772,14.659139278531075
0,0,0,0,0,0,0.0026715496,0.04697265625,0.1,-1.755701470375061,0.02526646852493286,5e-05,20.85761260986328,130,-0.005157482378854184,351.42962131649256
0,0,0,0,0,0,0.0032018947,0.13134765625,0.1,-1.7493099968880415,0.22508776187896729,5e-05,13.613297462463379,140,-0.009605947800446301,11.835501405596734
0,0,0,0,0,0,0.0012375356,0.01904296875,0.1,-1.7408625483512878,0.042554378509521484,5e-05,76.8991928100586,150,-0.0041115081192401705,347.3546627655625
0,0,0,0,0,0,0.0019750681,0.06865234375,0.1,-1.7388279039412737,0.31695449352264404,5e-05,6.191199779510498,160,-0.006174566558911465,14.368343490362168
0,0,0,0,0,0,0.003100229,0.106640625,0.1,-1.7287763096392155,0.42254602909088135,5e-05,7.200342655181885,170,-0.009541902935598045,10.6622318290174
0,0,0,0,0,0,0.0016002127,0.02978515625,0.1,-1.7248812664300204,0.04247933626174927,5e-05,24.95058250427246,180,-0.002750483348791022,347.55926639586687
0,0,0,0,0,0,0.0019522822,0.0533203125,0.1,-1.7220077097415925,0.050975680351257324,5e-05,23.09773826599121,190,-0.00363911796521279,349.94873947501185
0,0,0,0,0,0,0.0012638746,0.00986328125,0.1,-1.71995994374156,0.026092886924743652,5e-05,1856.4241943359375,200,-0.001712566123023862,656.6180755972862
0,0,0,0,0,0,0.001827195,0.0609375,0.1,-1.7230834417045116,0.07397663593292236,5e-05,573.9298706054688,210,-0.003141268880426651,341.7273947536945
0,0,0,0,0,0,0.0035403315,0.11796875,0.1,-1.7141975529491902,0.11604773998260498,5e-05,19.52489471435547,220,-0.005168954551481875,331.8963659614325
0,0,0,0,0,0,0.001873284,0.05537109375,0.1,-1.7123085524886847,-0.07340145111083984,5e-05,428.98248291015625,230,-0.0027100889608846048,360.2822065457702
0,0,0,0,0,0,0.0027304841,0.09033203125,0.1,-1.7021365605294705,-0.0010199546813964844,5e-05,4903.12451171875,240,-0.0044667898640909694,955.6212055623531
0,0,0,0,0,0,0.0014477111,0.04443359375,0.1,-1.7089245289564132,0.04301196336746216,5e-05,60.4088249206543,250,-0.0018536199117079378,626.6462427556514
0,0,0,0,0,0,0.0022454488,0.1,0.1,-1.7026589889079333,0.08474886417388916,5e-05,2772.001953125,260,-0.004150157021649647,918.4406700849534
0,0,0,0,0,0,0.002106977,0.03427734375,0.1,-1.6848568480461836,0.07495975494384766,5e-05,544.8736572265625,270,-0.001581665409321431,927.1011052429676
0,0,0,0,0,0,0.0031267013,0.14404296875,0.1,-1.697504197433591,0.15876030921936035,5e-05,76.65312194824219,280,-0.004448734181278269,306.7622980281711
0,0,0,0,0,0,0.00091419456,0.0158203125,0.1,-1.6949837427586316,0.07898783683776855,5e-05,2270.420166015625,290,-0.0012978729791939259,905.4123968660831
0,0,0,0,0,0,0.0020525723,0.0337890625,0.1,-1.675617154315114,0.09236925840377808,5e-05,514.1649169921875,300,-0.0013368620362598448,889.6595037162303
0,0,0,0,0,0,0.0023650536,0.036328125,0.1,-1.6747382927685976,0.05184805393218994,5e-05,1517.7283935546875,310,-0.0007130288489861414,1424.2477852463721
0,0,0,0,0,0,0.0009866027,0.02822265625,0.1,-1.6750573884695767,0.07078391313552856,5e-05,1714.7298583984375,320,-0.0008952531090471894,1116.0152899742127
0,0,0,0,0,0,0.0018251345,0.09140625,0.1,-1.6639022532850505,0.10269492864608765,5e-05,477.23980712890625,330,-0.002667981967169908,1354.7305725336075
0,0,0,0,0,0,0.0021932088,0.066796875,0.1,-1.6639224234968424,0.08721804618835449,5e-05,378.14984130859375,340,-0.0023994403221877293,1116.8653480529786
0,0,0,0,0,0,0.0030672778,0.09541015625,0.1,-1.6602986369282007,0.11054182052612305,5e-05,2991.791015625,350,-0.003361634081375087,1574.896671104431
0,0,0,0,0,0,0.0013029425,0.03203125,0.1,-1.6719067819416522,0.12772715091705322,5e-05,258.6739196777344,360,-0.00047970399973564783,797.5422191977501
0,0,0,0,0,0,0.0019713754,0.05205078125,0.1,-1.6645877931267024,0.15568482875823975,5e-05,2077.822021484375,370,-0.001867223459703382,556.4112698972225
0,0,0,0,0,0,0.002891512,0.105078125,0.1,-1.6609729316085577,0.17785495519638062,5e-05,722.2169189453125,380,-0.0024868596337910276,1038.955485856533
0,0,0,0,0,0,0.0008327678,0.0126953125,0.1,-1.6610591225326061,0.2005249261856079,5e-05,468.39288330078125,390,-0.0005890069332963321,1026.4969975173474
0,0,0,0,0,0,0.002560447,0.0828125,0.1,-1.6601959049701691,0.17437070608139038,5e-05,19.802324295043945,400,-0.0013620345140225253,787.1041154503822
0,0,0,0,0,0,0.0012889035,0.0376953125,0.1,-1.6526071984320878,0.0800011157989502,5e-05,1603.5103759765625,410,-0.0009897537653159815,1306.6092584133148
0,0,0,0,0,0,0.0042513404,0.0728515625,0.1,-1.6422277931123972,0.13573330640792847,5e-05,1639.927734375,420,-0.002448890501545975,1548.8143888950349
0,0,0,0,0,0,0.0023105023,0.08515625,0.1,-1.633333856984973,0.1179964542388916,5e-05,2395.51220703125,430,-0.0017115694521635306,1501.203732585907
0,0,0,0,0,0,0.0022745994,0.1150390625,0.1,-1.6574737098068,0.021955013275146484,5e-05,391.6014709472656,440,-0.0016348790370102507,971.9821976780892
0,0,0,0,0,0,0.0009008343,0.03994140625,0.1,-1.6338979054242373,0.15034496784210205,5e-05,753.231689453125,450,-0.000333680359472055,1431.0499336481093
0,0,0,0,0,0,0.0024916362,0.10732421875,0.1,-1.649188481271267,0.13247740268707275,5e-05,359.8085021972656,460,-0.0023578225584060418,733.3921572685242
0,0,0,0,0,0,0.0023230896,0.10078125,0.1,-1.6250856228172779,0.19627130031585693,5e-05,1428.88720703125,470,-0.002300655859289691,1416.322582614422
0,0,0,0,0,0,0.0019949754,0.1283203125,0.1,-1.644465297088027,0.14862138032913208,5e-05,173.0828094482422,480,-0.0035397877581999637,948.2009756088257
0,0,0,0,0,0,0.0024088246,0.10771484375,0.1,-1.6213628355413676,0.20754235982894897,5e-05,1088.172607421875,490,-0.0018918809772003442,1579.7824400782586
0,0,0,0,0,0,0.0019095875,0.11611328125,0.1,-1.6454946622252464,0.1311590075492859,5e-05,697.783203125,500,-0.0019701451950822958,702.3509464263916
